Activity_Period,RegionName,Passenger_Count
200604,Mexico,67786
201208,US,3403584
201101,Europe,149239
200812,US,2263215
201701,Australia / Oceania,68950
200510,Central America,7564
201409,Central America,9113
200702,US,1693076
201003,Asia,317095
201805,Europe,356101
201002,Europe,113854
200507,Europe,221644
201104,US,2485934
201708,Australia / Oceania,51857
201103,Asia,308404
201606,Asia,445548
200806,Central America,7494
201510,Europe,299415
201807,Asia,523330
201210,Australia / Oceania,32547
201610,US,3530551
200909,Mexico,32828
200511,US,1998879
201211,Mexico,69956
201105,Mexico,45099
200809,Canada,102260
201211,Middle East,18348
201105,Middle East,18873
201112,South America,6796
200512,US,2003840
200909,Middle East,11660
201806,Australia / Oceania,56015
200801,Canada,90133
200609,Canada,105411
201206,US,3187511
201307,Asia,365287
201602,Europe,182178
201608,Mexico,106240
201711,Mexico,122392
201804,Mexico,116255
201209,Central America,9191
201202,Canada,75198
201608,Middle East,46309
201711,Middle East,36951
201804,Middle East,35669
200805,Europe,215647
200709,Australia / Oceania,40036
200908,Central America,10079
201112,Mexico,73233
201604,Australia / Oceania,42083
201906,Canada,216140
201601,Asia,404603
201112,Middle East,20320
201105,South America,5784
201211,South America,6005
201310,Europe,258623
201305,Europe,274498
201904,Asia,463267
201406,Canada,143299
201308,Central America,12805
200903,US,2279999
201204,South America,4879
201402,Asia,300030
200910,Middle East,13771
201401,Central America,11308
200708,Mexico,56941
200607,Central America,12459
201811,Mexico,111602
201403,US,2982900
201909,Asia,434506
201811,Middle East,38699
201612,US,3300499
200910,Mexico,38420
201511,Asia,359848
201507,US,3661816
201808,Middle East,47611
201407,Central America,11080
201701,Europe,222118
200509,Asia,297234
201002,Australia / Oceania,32920
201805,Australia / Oceania,49427
200602,Central America,8114
200507,Australia / Oceania,28182
201812,Central America,35234
201707,US,4098395
201808,Mexico,104403
201001,Mexico,55878
201006,US,2766936
200710,Asia,349252
200711,Canada,87098
200810,Mexico,37476
200703,Europe,176679
201101,Australia / Oceania,46743
201111,Canada,75156
200707,Canada,138547
200912,Canada,80478
200705,Canada,112220
201001,Middle East,17514
201703,US,3350116
201502,US,2528565
201908,US,4228225
201303,Middle East,18996
201411,Mexico,77871
201004,Canada,88524
201303,Mexico,71385
201411,Middle East,22913
201806,Europe,429548
201905,Asia,515524
201712,Canada,105772
201704,Mexico,122571
201708,Europe,417996
201012,Mexico,48410
201609,Mexico,72300
201510,Australia / Oceania,29991
201012,Middle East,19955
201210,Europe,228861
201609,Middle East,40585
201704,Middle East,36637
200803,Asia,375468
201511,Middle East,35920
200911,Central America,7619
200708,Asia,378029
201909,Middle East,46475
201802,Central America,25256
201811,Asia,456155
201605,Australia / Oceania,43013
200606,US,2283880
201909,Mexico,72449
200704,Central America,8740
200910,Asia,302121
201511,Mexico,90074
201306,Europe,291465
201402,Middle East,18459
201009,US,2575445
201705,Canada,151268
201904,Mexico,103300
201412,Central America,11472
201904,Middle East,41308
201010,US,2713691
201109,South America,4323
201402,Mexico,72106
201611,Australia / Oceania,52668
201601,Middle East,41404
201112,Asia,331422
201607,Canada,183332
201207,Canada,146518
201810,Central America,28170
201601,Mexico,91366
201007,Europe,236958
201107,US,3038721
201509,US,3247678
200701,US,1796958
200804,Australia / Oceania,36790
201103,South America,6703
201307,Mexico,78275
201408,Central America,10802
201901,Canada,102943
201608,Asia,448677
201711,Asia,417187
201804,Asia,442275
201506,Europe,338592
201702,Central America,22311
